THIS SHEET WAS LAST UPDATED ON:,2026/8/5 12:43,,,,,,,,
League,Team,Official Summoner Name,Main Role,Legal First Name,Legal Family Name,"End Date (Month, Day, Year)",,Tri-code,Team Contact Information
LPL,EDWARD GAMING,Angel,MID,TAO,XIANG,"November 17, 2026",,,
LPL,EDWARD GAMING,Zdz,TOP,DEZHANG,ZHU,"November 17, 2026",,,
,,,,,,,,,
LPL,BILIBILI GAMING,Xun,JUG,LIXUN,PENG,"November 16, 2027",,BLG,LINQING@BILIBILI.COM
LPL,BILIBILI GAMING,knight,MID,DING,ZHUO,"November 16, 2027",,,
LPL,BILIBILI GAMING,ON,SUP,WENJUN,LUO,"November 16, 2027",,,
LPL,BILIBILI GAMING,Viper,ADC,DOHYEON,PARK,"November 16, 2027",,,
LPL,BILIBILI GAMING,Bin,TOP,ZEBIN,CHEN,"November 17, 2026",,,
,,,,,,,,,
LPL,Anyone's Legend,Tarzan,JUG,SEUNGYONG,LEE,"November 16, 2027",,AL,shaoxiaohang@allgamers.com.cn
LPL,Anyone's Legend,Flandre,TOP,XUANJUN,LI,"November 17, 2026",,,
LPL,Anyone's Legend,Kael,SUP,JINHONG,KIM,"November 16, 2027",,,
LPL,Anyone's Legend,Shanks,MID,XIAOJUN,CUI,"November 17, 2026",,,
LPL,Anyone's Legend,Hope,ADC,JIE,WANG,"November 16, 2027",,,
