LAST UPDATE:,"Jul 24, 2026 13:54:53 PT",5,Blue - Reserve Roster and Not Eligible,Yellow - Inactive Roster and Not Eligible,,Orange - Two-way Players,,,,
LCS,LYON,Isles,Support,Jonah,Rosario,"November 15, 2027",NA Resident,Active,,
LCS,LYON,Armao,Jungle,Jonathan,Armao,"August 2, 2026",NA Resident,Active,,
LCS,LYON,Reignover,LCS Head Coach,Yeujin ,Kim,Day After Worlds 2026,NA Resident,Active,,
LCS,LYON,Rigby,LCS Strategic Coach,Earl ,Han,Day After Worlds 2026,Non-Resident,Active,,
,,,,,,,,,,
LCS,Sentinels,Impact,Top,Jeong ,Eon-young ,"November 15, 2027",NA Resident,Active,SEN,Kevin Jeon<kevin@sentinels.gg>
LCS,Sentinels,Hambak,Jungle,Ham,Yujin,"November 17, 2026",Non-Resident,Active,,
LCS,Sentinels,DARKWINGS,Mid,Isaac ,Chou,"November 15, 2027",NA Resident,Active,,
LCS,Sentinels,Rahel,Bot,Minseong ,Jo,"November 15, 2027",Non-Resident,Active,,
LCS,Sentinels,Huhi,Support,Jaehyun ,Choi,"November 15, 2027",NA Resident,Active,,
LCS,Sentinels,Goldenglue,LCS Head Coach,Greyson ,Gilmer,Day After Worlds 2028,NA Resident,Active,,
LCS,Sentinels,Dayos,LCS Strategic Coach,Mervin ,Lachica,Day After Worlds 2026,NA Resident,Active,,
,,,,,,,,,,
LCS,Shopify Rebellion,Fudge,Top,Ibrahim,Allami,"November 17, 2026",NA Resident,Active,SR,Dario Wünsch <dario.wuensch@shopify.com>
LCS,Shopify Rebellion,Contractz,Jungle,Juan,Garcia,"November 17, 2026",NA Resident,Active,,
LCS,Shopify Rebellion,Zinie,Mid,Baekjin,Yu,"November 17, 2026",Non-Resident,Active,,
LCS,Shopify Rebellion,Bvoy,Bot,Younghoon,Joo,"November 17, 2026",Non-Resident,Active,,
LCS,Shopify Rebellion,Zeyzal,Support,Tristan ,Stidam,"November 14, 2026",NA Resident,Active,,
LCS,Shopify Rebellion,Reven,LCS Head Coach,Sang-hyeon,Seong,Day After Worlds 2026,Non-Resident,Active,,
LCS,Shopify Rebellion,Damonte,LCS Strategic Coach,Tanner,Damonte,Day After Worlds 2026,NA Resident,Active,,
,,,,,,,,,,
LCS,Team Liquid,Morgan,Top,Ruhan ,Park,"November 17, 2026",Non-Resident,Active,TLAW,Jun Kang <dodo@teamliquid.com>
LCS,Team Liquid,Josedeodo,Jungle,Brandon ,Villegas,"November 15, 2027",NA Resident,Active,,
LCS,Team Liquid,Quid,Mid,Hyunseung,Lim,"November 15, 2027",Non-Resident,Active,,
LCS,Team Liquid,Yeon,Bot,Sean,Sung,"November 17, 2026",NA Resident,Active,,
LCS,Team Liquid,CoreJJ,Support,Yong-in,Jo,"November 17, 2026",NA Resident,Active,,
LCS,Team Liquid,Spawn,LCS Head Coach,Jake,Tiberi,Day After Worlds 2026,NA Resident,Active,,
LCS,Team Liquid,Spookz,LCS Strategic Coach,Samuel ,Broadley,Day After Worlds 2026,NA Resident,Active,,
,,,,,,,,,,
NACL TEAMS,,,,,,,,,,
NACL,Blue Otter,Ariana,Top,Jakub,Śliwonik,"June 15, 2026",Non Resident,Active,BLUE,Brad Kurtz - bradk@blueottersolutions.com
NACL,Blue Otter,Munchy,Jungler,Janan,Chen,"June 15, 2026",NA Resident,Active,,
NACL,Blue Otter,Samikin,Mid,Samrith,Loeung,"June 15, 2026",NA Resident,Active,,
NACL,Blue Otter,Spawn,Bot,Trevor,Kerr-Taylor,"June 15, 2026",NA Resident,Active,,
NACL,Blue Otter,Rovex,Support,David,Sin-Keo,"June 15, 2026",NA Resident ,Active,,
NACL,Blue Otter,Dionrray,Coach,João Pedro,Barbosa,"June 15, 2026",Non Resident ,Active,,
,,,,,,,,,,
NACL,NRG,Zamudo,Top,Frankie,Lin,"November 16, 2026",NA Resident,Active,NRG,James Kandel < james@nrg.gg >
NACL,NRG,Kisno,Jungle,James ,Woo,"November 16, 2026",NA Resident,Active,,
NACL,NRG,Sushee,Bot,Jeremy,Roussy,"November 16, 2026",NA Resident,Active,,
NACL,NRG,Spica,Support,Mingyi,Lu,"November 16, 2026",NA Resident,Active,,
NACL,NRG,Phymini,Mid,Kolby,Ashby,"November 16, 2026",NA Resident ,Active,,
,,,,,,,,,,
CBLOL TEAMS,,,,,,,,,,
CBLOL,Fluxo W7M,curty,Top,Pedro,Curty,"November 16, 2026",Resident,Active,FX,Alex Watanabe <alex@fluxo.gg>
CBLOL,Fluxo W7M,Peach,Jungle,Mingyu,Lee,"November 16, 2026",Non-Resident,Active,,
CBLOL,Fluxo W7M,hauz,Mid,Bruno Augusto,Felberge,"November 16, 2026",Resident,Active,,
CBLOL,Fluxo W7M,cody,Mid,Cristian,Yampara,"November 16, 2026",Resident,Active,,
CBLOL,Fluxo W7M,BAO,Bot,Hyeonu,Chung,"November 16, 2026",Non-Resident,Active,,
CBLOL,Fluxo W7M,ProDelta,Support,Fábio,Marques,"November 16, 2026",Resident,Active,,
CBLOL,Fluxo W7M,Momochi,Support,Gabriel,Oliveira,"November 16, 2026",Resident,Active,,
CBLOL,Fluxo W7M,Guchi,CBLOL Head Coach,Andres,Perrella,Day After Worlds 2026,Resident,Active,,
CBLOL,Fluxo W7M,Samyy,CBLOL Assistant Coach,Mayoah,Almeida,Day After Worlds 2026,Resident,Active,,
CBLOL,Fluxo W7M,Nothing,CBLOL Assistant Coach,Brandon,Merlo,Day After Worlds 2026,Resident,Active,,
,,,,,,,,,,
CBLOL,FURIA,Guigo,Top,Guilherme,Ruiz,"November 16, 2026",Resident,Active,FUR,Jaime de Pádua <jaime@furia.gg>
CBLOL,FURIA,Tatu,Jungle,Pedro,Seixas,"November 15, 2027",Resident,Active,,Julia Medeiros <zaz@furia.gg>
CBLOL,FURIA,Tutsz,Mid,Arthur,Machado,"November 15, 2027",Resident,Active,,
CBLOL,FURIA,Ayu,Bot,Andrey,Saraiva,"November 16, 2026",Resident,Active,,
CBLOL,FURIA,JoJo,Support,Gabriel,Dzelme,"November 16, 2026",Resident,Active,,
CBLOL,FURIA,furyz,CBLOL Head Coach,Thomas,Slotkin,Day After Worlds 2027,Resident,Active,,
CBLOL,FURIA,Luuukz,CBLOL Assistant Coach,Lucas Yudi,Higashi,Day After Worlds 2027,Resident,Active,,
CBLOL,FURIA,Lanterninho,CBLOL Assistant Coach,Caio,Cavaglieri,Day After Worlds 2027,Resident,Active,,
,,,,,,,,,,
CBLOL,LEVIATÁN,Devost,Top,Julián,Orozco,"November 16, 2026",Resident,Active,LEV,Guido Gernetti <guido@leviatan.gg>
CBLOL,LEVIATÁN,Booki,Jungle,Piero,Herrera,"November 16, 2026",Resident,Active,,Eloy Santos <tostado@leviatan.gg>
CBLOL,LEVIATÁN,Enga,Mid,Eneas,Tomas Protti,"November 16, 2026",Resident,Active,,
CBLOL,LEVIATÁN,Snaker,Bot,Brian,Distefano,"November 16, 2026",Resident,Active,,
CBLOL,LEVIATÁN,TopLop,Support,Nicolás,Greco,"November 16, 2026",Resident,Active,,
CBLOL,LEVIATÁN,Kouke,CBLOL Head Coach,Jorge,Gonzalez,Day After Worlds 2026,Resident,Active,,
CBLOL,LEVIATÁN,NewCosmo,CBLOL Assistant Coach,Gabriel,Emanuel Arias,Day After Worlds 2026,Resident,Active,,
CBLOL,LEVIATÁN,LautaLoval,CBLOL Assistant Coach,Lautaro,Lo Valvo,Day After Worlds 2026,Resident,Active,,
,,,,,,,,,,
CBLOL,LOS,Zest,Top,Kim,Dongmin,"November 16, 2026",Non-Resident,Active,LOS,Alexandre Peres <alexandre@teamoneesports.com.br>
CBLOL,LOS,Curse,Jungle,Raí,Yamada,"November 15, 2027",Resident,Active,,
CBLOL,LOS,Feisty,Mid,Jung,Seonghun,"November 16, 2026",Non-Resident,Active,,
CBLOL,LOS,Duduhh,Bot,Wallyson,"Francisco Queiroz da Silva,","November 15, 2027",Resident,Active,,
CBLOL,LOS,Ackerman,Support,Gabriel,Agustin Aparicio,"November 16, 2026",Resident,Active,,
CBLOL,LOS,Enatron,CBLOL Head Coach,Ilias,Theodorou,Day After Worlds 2026,Non-Resident,Active,,
CBLOL,LOS,Invokid,CBLOL Assistant Coach,Arda,Başaran,Day After Worlds 2027,Non-Resident,Active,,
CBLOL,LOS,Brandão,CBLOL Assistant Coach,Felipe,Brandão,Day After Worlds 2026,Resident,Active,,
,,,,,,,,,,
CBLOL,LOUD,Xyno,Top,Carlos,Ferreira,"November 16, 2026",Resident,Active,LOUD,Jean Ortega <jean.ortega@loud.gg>
CBLOL,LOUD,Sinatra,Jungle,Enzo,Ferreira,"November 20, 2028",Resident,Active,,
CBLOL,LOUD,Kaze,Mid,Lucas,Sebastian Fe,"November 15, 2027",Resident,Active,,
CBLOL,LOUD,Mago,Mid,Jean,Dias,"November 16, 2026",Resident,Active,,
CBLOL,LOUD,Rabelo,Bot,Guilherme,Rabelo,"November 20, 2028",Resident,Active,,
CBLOL,LOUD,uZent,Support,Matheus,Ferreira,"November 15, 2027",Resident,Active,,
CBLOL,LOUD,Raise,CBLOL Head Coach,Jihwan,Oh,Day After Worlds 2026,Non-Resident,Active,,
CBLOL,LOUD,Sephis,CBLOL Assistant Coach,Diego,Alencar,Day After Worlds 2026,Resident,Active,,
,,,,,,,,,,
CBLOL,paiN Gaming,Robo,Top,Leonardo,Souza,"November 15, 2027",Resident,Active,PAIN,Arthur Zarzur <arthur.curiati@pain.gg>
CBLOL,paiN Gaming,Boal,Top,Felipe,Boal,"November 15, 2027",Resident,,,
CBLOL,paiN Gaming,CarioK,Jungle,Marcos,Oliveira,"November 16, 2026",Resident,Two-Way,,
CBLOL,paiN Gaming,Samkz,Jungle,Samuel,Rosa,"November 15, 2027",Resident,Two-Way,,
CBLOL,paiN Gaming,Keine,Mid,Kim,Cheol,"November 16, 2026",Non-Resident,Two-Way,,
CBLOL,paiN Gaming,Namiru,Mid,Daniel,Tonelli,"November 15, 2027",Resident,Two-Way,,
CBLOL,paiN Gaming,Trigger,Bot,Uiju,Kim,"November 16, 2026",Non-Resident,Active,,
CBLOL,paiN Gaming,Marvin,Bot,Vinicius,Marvin,"November 16, 2026",Resident,Active,,
CBLOL,paiN Gaming,Kuri,Support,Wonyoung,Choi,"November 16, 2026",Resident,Active,,
CBLOL,paiN Gaming,Sarkis,CBLOL Head Coach,Matheus,Sarquis,Day After Worlds 2026,Resident,Active,,
CBLOL,paiN Gaming,Xero,CBLOL Assistant Coach,Hyuk,Shin,Day After Worlds 2027,Non-Resident,Active,,
CBLOL,paiN Gaming,Von,CBLOL Assistant Coach,Gabriel,Leite,Day After Worlds 2026,Resident,Active,,
,,,,,,,,,,
,,,,,,,,,,
CBLOL,RED Canids Kalunga,zynts,Top,Matheus,Silva,"November 16, 2026",Resident,Active,RED,Felippe Corradini <felippe@redcanids.com.br>
CBLOL,RED Canids Kalunga,STEPZ,Jungle,Eloy,Gonzalez,"November 15, 2027",Resident,Active,,
CBLOL,RED Canids Kalunga,Fuuu,Mid,Gabriel,Fuuruti,"November 16, 2026",Resident,Active,,
CBLOL,RED Canids Kalunga,Morttheus,Bot,Matheus,Motta,"November 16, 2026",Resident,Active,,
CBLOL,RED Canids Kalunga,frosty,Support,José,Leal,"November 15, 2027",Resident,Active,,
CBLOL,RED Canids Kalunga,jmz,Top,João,Loureiro,"September 21, 2026",Resident,Two-Way,,
CBLOL,RED Canids Kalunga,smooth,Jungle,Anthony,Bonatto,"September 21, 2026",Resident,Two-Way,,
CBLOL,RED Canids Kalunga,Nukenin,Mid,Davi,Loureiro,"September 30, 2026",Resident,Two-Way,,
CBLOL,RED Canids Kalunga,Nanashi,Bot,Giuliano,Lorenzo,"September 21, 2026",Resident,Two-Way,,
CBLOL,RED Canids Kalunga,Manel,Support,Emanuel,Arcanjo,"November 15, 2027",Resident,Two-Way,,
CBLOL,RED Canids Kalunga,Mago,Mid,Jean,Dias,"November 16, 2026",Resident,Inactive,,
CBLOL,RED Canids Kalunga,Tockers,CBLOL Head Coach,Gabriel,Claumann,Day After Worlds 2026,Resident,Active,,
CBLOL,RED Canids Kalunga,BeellzY,CBLOL Assistant Coach,Lucas,Spinola de Souza,Day After Worlds 2026,Resident,Active,,
,,,,,,,,,,
CBLOL,Vivo Keyd Stars,Zekas,Top,Cesar,Berteli,"November 20, 2028",Resident,Active,VKS,Hugo Tristao <hugo.tristao@keydstars.com.br>
CBLOL,Vivo Keyd Stars,Disamis,Jungle,Pedro,Cavalcante,"November 16, 2026",Resident,Active,,Edu Kim <ekim@keydstars.com.br>
CBLOL,Vivo Keyd Stars,Mireu,Mid,Jobeen,Jeong,"November 15, 2027",Non-Resident,Active,,
CBLOL,Vivo Keyd Stars,ceo,Bot,Mauro,Tévez,"November 16, 2026",Resident,Active,,
CBLOL,Vivo Keyd Stars,scamber,Support,Pedro,Maximiano,"November 15, 2027",Non-Resident,Active,,
CBLOL,Vivo Keyd Stars,SUPERCLEBER,Top,Cleber,Nantes,"November 15, 2027",Resident,Two-Way,,
CBLOL,Vivo Keyd Stars,sarolu,Jungle,Victor,Noguchi,"November 16, 2026",Resident,Two-Way,,
CBLOL,Vivo Keyd Stars,Qats,Mid,Thiago,Freitas,"November 15, 2027",Resident,Two-Way,,
CBLOL,Vivo Keyd Stars,BUERO,Bot,Daniel,Nunes,"November 20, 2028",Resident,Two-Way,,
CBLOL,Vivo Keyd Stars,zay,Support,Vinicius,Viana,"November 20, 2028",Resident,Two-Way,,
CBLOL,Vivo Keyd Stars,Xyno,Top,Carlos,Ferreira,"November 16, 2026",Resident,Inactive,,
CBLOL,Vivo Keyd Stars,Smiley,CBLOL Head Coach,Ludvig,Granquist,Day After Worlds 2026,Non-Resident,Active,,
CBLOL,Vivo Keyd Stars,Benvi,CBLOL Assistant Coach,Ben,Moore,Day After Worlds 2027,Non-Resident,Active,,
CBLOL,Vivo Keyd Stars,kksh,CBLOL Assistant Coach,Otavio,Alves,Day After Worlds 2026,Resident,Active,,
,,,,,,,,,,
CIRCUITO DESAFIANTE TEAMS,,,,,,,,,,
Circuito Desafiante,7REX Team,Hakari,Top,Eron,Rodrigues,"November 5, 2026",Resident,Active,7REX,Gustavo Nobre <contato@7rex.org>
Circuito Desafiante,7REX Team,Hirotto,Jungle,Caio,Cordeiro,"November 5, 2026",Resident,Active,,
Circuito Desafiante,7REX Team,lolo,Mid,Lorenzo Mariano,Félix,"November 5, 2026",Resident,Active,,
Circuito Desafiante,7REX Team,aikawa,Bot,Kalil,Kayatt,"November 5, 2026",Resident,Active,,
Circuito Desafiante,7REX Team,Bulas,Support,Lucas,Adriel,"November 5, 2026",Resident,Active,,
Circuito Desafiante,7REX Team,Strix,CD Head Coach,Douglas,de Assis,Day After Worlds 2026,Resident,Active,,
,,,,,,,,,,
Circuito Desafiante,Ei Nerd Esports,Makes,Top,Gabriel,Nemeth,"October 10, 2026",Resident,Active,NERD,Alef Pires <alef.pires@einerd.com>
Circuito Desafiante,Ei Nerd Esports,Drakehero,Jungle,Luciano,Paes,"November 15, 2027",Resident,Active,,
Circuito Desafiante,Ei Nerd Esports,Pilot,Mid,Elvis,Vergara,"October 10, 2026",Resident,Active,,
Circuito Desafiante,Ei Nerd Esports,Kog,Bot,Gustavo,Melgaço,"November 15, 2027",Resident,Active,,
Circuito Desafiante,Ei Nerd Esports,Elkinhoo,Support,Elker,Marques,"November 15, 2027",Resident,Active,,
Circuito Desafiante,Ei Nerd Esports,Damage,Support,Yan,Sales,"October 27, 2026",Resident,Active,,
Circuito Desafiante,Ei Nerd Esports,Doran,CD Head Coach,Eduardo,Carvalho,Day After Worlds 2026,Resident,Active,,
,,,,,,,,,,
Circuito Desafiante,Estral Esports,Bwipo,Top,Gabriel ,Rau,"November 16, 2026",Non-Resident,Active,EST,Arturo Gonzalez <agonzalez@estral.gg>
Circuito Desafiante,Estral Esports,Oddie,Jungle,Sebastian,Zavaleta,"November 16, 2026",Non-Resident,Active,,
Circuito Desafiante,Estral Esports,Envy,Mid,Bruno,Farias ,"November 16, 2026",Resident,Active,,
Circuito Desafiante,Estral Esports,Kisee,Mid,Van Bao,Vo,"November 16, 2026",Non-Resident,Active,,
Circuito Desafiante,Estral Esports,Brance,Bot,Diego ,Amaral,"November 16, 2026",Resident,Active,,
Circuito Desafiante,Estral Esports,Telas,Support,Luis ,Drumond,"November 16, 2026",Resident,Active,,
Circuito Desafiante,Estral Esports,Snok,CD Head Coach,Roberto ,Coello,Day After Worlds 2026,Non-Resident,Active,,
,,,,,,,,,,
Circuito Desafiante,INTZ,Kiari,Top,Thiago,Campos,"November 19, 2029",Resident,Active,INTZ,Thiago Campos <thiago.campos@stellaegg.com>
Circuito Desafiante,INTZ,StineR,Jungle,Vinícius,Corrês,"November 15, 2027",Resident,Active,,
Circuito Desafiante,INTZ,Leleko,Mid,Leandro,Hideki,"October 31, 2026",Resident,Active,,
Circuito Desafiante,INTZ,Netuno,Bot,Lucas,Fensterseifer,"October 31, 2026",Resident,Active,,
Circuito Desafiante,INTZ,konseki,Support,Ighor,Treiss,"November 19, 2029",Resident,Active,,
Circuito Desafiante,INTZ,Patron,CD Head Coach,Leone,Patron,Day After Worlds 2029,Resident,Active,,
Circuito Desafiante,INTZ,Trigo,CD Assistant Coach,Matheus,Nobrega,Day After Worlds 2026,Resident,Active,,
,,,,,,,,,,
Circuito Desafiante,KaBuM! Esports,Yupps,Top,Yuri ,Petermann,"November 16, 2026",Resident,Active,KBM,Marcelo Fadul <marcelo.fadul@kabum.com.br>
Circuito Desafiante,KaBuM! Esports,Scary,Jungle,Artur,Scalabrin,"November 15, 2027",Resident,Active,,
Circuito Desafiante,KaBuM! Esports,Grevthar,Mid,Daniel,Ferreira,"November 15, 2027",Resident,Active,,
Circuito Desafiante,KaBuM! Esports,Kojima,Bot,Caio,Kojima,"November 15, 2027",Resident,Active,,
Circuito Desafiante,KaBuM! Esports,Guigs,Support,Guilherme,Silva,"November 15, 2027",Resident,Active,,
Circuito Desafiante,KaBuM! Esports,Medina,CD Head Coach,Rodrigo,Medina,Day After Worlds 2026,Resident,Active,,
Circuito Desafiante,KaBuM! Esports,Alocs,CD Assistant Coach,Leonardo,Carvalho,Day After Worlds 2026,Resident,Active,,
,,,,,,,,,,
Circuito Desafiante,paiN Gaming Academy,Zoen,Top,Enzo,Ganino,"November 15, 2027",Non-Resident,Active,PAIN,Arthur Zarzur <arthur.curiati@pain.gg>
Circuito Desafiante,paiN Gaming Academy,Levi,Jungle,Levi,Pedutti,"November 16, 2026",Resident,Active,,
Circuito Desafiante,paiN Gaming Academy,Gatovisck,Support,Vitor,Souza,"November 20, 2028",Resident,Active,,
Circuito Desafiante,paiN Gaming Academy,Paivaa,CD Head Coach,Vitor,Paiva,Day After Worlds 2028,Resident,Active,,
,,,,,,,,,,
Circuito Desafiante,RED Canids Kalunga Academy,Kick,CD Head Coach,João Vitor,Rosas,Day After Worlds 2026,Resident,Active,RED,Felippe Corradini <felippe@redcanids.com.br>
Circuito Desafiante,RED Canids Kalunga Academy,Vinicin,CD Assistant Coach,Vinicius,Cruz,Day After Worlds 2026,Resident,Active,,
,,,,,,,,,,
Circuito Desafiante,RMD Gaming,Hidan,Top,Leonardo,Borré dos Santos,"October 8, 2026",Resident,Active,RMD,Robison Martins <robisonmartins59@gmail.com>
Circuito Desafiante,RMD Gaming,Nero,Jungle,Otávio,Ribeiro,"October 8, 2026",Resident,Active,,
Circuito Desafiante,RMD Gaming,BLACKY,Mid,Matheus,Lessa,"November 10, 2026",Resident,Active,,
Circuito Desafiante,RMD Gaming,Celo,Bot,Marcelo,Leite,"November 10, 2026",Resident,Active,,
Circuito Desafiante,RMD Gaming,murilao,Support,Murilo,Cocco Lopes,"October 8, 2026",Resident,Active,,
Circuito Desafiante,RMD Gaming,CAPIVARA,CD Head Coach,Gabriel,Vieira,Day After Worlds 2026,Resident,Active,,
Circuito Desafiante,RMD Gaming,Scartie,CD Assistant Coach,Carlos,Magalhães,Day After Worlds 2027,Resident,Active,,
,,,,,,,,,,
Circuito Desafiante,Team Solid,Tyrin,Top,William,Portugal,"November 16, 2026",Resident,Active,TSS,Marcos Guerra <marcos.guerra@teamsolid.com.br>
Circuito Desafiante,Team Solid,Aegis,Jungle,Gabriel,Lemos,"November 16, 2026",Resident,Active,,
Circuito Desafiante,Team Solid,randomgap,Mid,Vinícius,Krick,"November 16, 2026",Resident,Active,,
Circuito Desafiante,Team Solid,bipi,Bot,Filipe,Viscardi,"October 8, 2026",Resident,Active,,
Circuito Desafiante,Team Solid,houndin,Support,Regis,Soares,"November 16, 2026",Resident,Active,,
Circuito Desafiante,Team Solid,Político,CD Head Coach,Iago,Cerqueira,Day After Worlds 2026,Resident,Active,,
Circuito Desafiante,Team Solid,Reversed,CD Assistant Coach,Carlos,Silva,Day After Worlds 2026,Resident,Active,,
,,,,,,,,,,
Circuito Desafiante,Vivo Keyd Stars Academy,ti0ben,CD Head Coach,André,Martinez,Day After Worlds 2026,Resident,Active,VKS,Hugo Tristao <hugo.tristao@keydstars.com.br>
Circuito Desafiante,Vivo Keyd Stars Academy,kksh,CD Assistant Coach,Otavio,Alves,Day After Worlds 2026,Resident,Active,,Edu Kim <ekim@keydstars.com.br>
